lga,year,is_alcohol_related,is_alcohol_time,total_persons,total_fatal,total_serious_injury,total_other_injury,total_non_injury,total_male,total_female,total_bicyclist,totaL_passenger,total_driver,total_pedestrian,total_pillion,total_motorist,total_unknown,total_crashes
Alpine,2015,2,11,107,0,15,30,62,60,44,1,57,20,3,1,20,5,39
Alpine,2016,0,25,117,1,26,59,31,82,31,8,20,44,5,0,37,3,73
Alpine,2017,2,19,114,0,31,46,37,74,35,7,27,43,1,1,34,1,68
Alpine,2018,4,19,100,4,25,40,31,64,28,0,29,37,3,0,29,2,60
Alpine,2019,7,21,115,3,26,62,24,74,40,3,15,47,4,4,41,1,76
Alpine,2020,0,8,45,1,7,27,10,30,15,1,8,17,0,1,18,0,30
Ararat,2015,0,7,40,1,10,19,10,32,7,0,6,23,3,1,4,3,22
Ararat,2016,0,15,100,3,28,32,37,65,35,0,35,51,2,0,9,3,44
Ararat,2017,2,18,72,1,18,29,24,42,28,2,19,44,2,0,4,1,37
Ararat,2018,1,8,50,2,15,20,13,33,15,0,10,33,0,0,4,3,29
Ararat,2019,0,13,90,3,12,45,30,46,38,0,33,51,1,0,4,1,39
Ararat,2020,0,6,23,0,8,12,3,16,6,0,6,12,0,0,4,1,14
Ballarat,2015,6,62,409,0,54,160,195,185,199,12,111,245,18,0,10,13,164
Ballarat,2016,9,94,721,9,79,298,335,350,327,18,179,440,38,1,25,20,291
Ballarat,2017,15,103,714,5,109,272,328,356,315,16,168,452,41,0,17,20,283
Ballarat,2018,6,79,636,4,94,243,295,318,282,24,155,405,21,0,20,11,257
Ballarat,2019,7,109,720,8,58,322,332,370,314,18,159,464,32,1,21,25,300
Ballarat,2020,3,32,268,2,22,128,116,132,127,13,46,180,8,1,16,4,123
Banyule,2015,2,32,271,2,30,105,134,148,111,13,45,172,22,0,8,11,119
Banyule,2016,4,85,611,2,84,219,306,320,261,24,113,399,29,2,27,17,241
Banyule,2017,5,90,510,6,72,186,246,256,221,20,100,330,31,0,24,5,213
Banyule,2018,4,61,501,3,89,179,230,267,207,21,79,328,32,3,28,10,218
Banyule,2019,4,54,548,1,41,226,280,287,237,18,93,369,28,0,21,19,221
Banyule,2020,4,29,200,1,15,84,100,109,77,12,32,138,9,0,6,3,85
Bass Coast,2015,1,13,114,1,17,35,61,50,62,2,48,54,4,0,6,0,41
Bass Coast,2016,8,44,298,3,50,112,133,162,129,8,102,160,7,2,15,4,117
Bass Coast,2017,4,32,234,6,43,77,108,135,95,12,72,129,9,0,9,3,93
Bass Coast,2018,4,30,164,0,50,53,61,85,69,3,41,92,9,2,13,4,78
Bass Coast,2019,1,27,203,3,33,96,71,114,79,6,48,108,10,1,25,5,94
Bass Coast,2020,0,7,59,1,7,22,29,32,25,3,14,36,4,0,2,0,24
Baw Baw,2015,1,34,211,0,30,110,71,129,78,1,52,95,4,2,54,3,113
Baw Baw,2016,11,70,408,5,83,212,108,263,124,4,79,196,6,3,114,6,256
Baw Baw,2017,7,55,362,3,88,150,121,228,120,3,78,182,17,3,73,6,197
Baw Baw,2018,3,42,295,5,74,128,88,177,111,3,58,167,10,3,49,5,159
Baw Baw,2019,7,67,370,5,40,199,126,223,136,2,100,197,7,0,63,1,187
Baw Baw,2020,2,28,166,1,42,76,47,98,60,1,42,82,1,0,36,4,87
Bayside,2015,3,24,233,2,58,61,112,121,104,20,41,144,18,1,5,4,91
Bayside,2016,3,69,485,2,102,148,233,249,219,63,81,299,16,1,14,11,211
Bayside,2017,4,66,440,5,109,123,203,250,172,61,51,262,27,1,25,13,196
Bayside,2018,4,43,284,2,68,85,129,162,110,40,24,185,19,0,14,2,134
Bayside,2019,5,56,353,0,56,136,161,194,137,43,32,225,22,0,24,7,170
Bayside,2020,0,30,220,2,18,94,106,133,75,38,25,124,14,0,13,6,95
Benalla,2015,1,12,166,1,19,21,125,76,79,2,115,32,5,1,8,3,31
Benalla,2016,2,22,101,0,31,36,34,60,40,3,18,55,5,1,13,6,56
Benalla,2017,2,16,100,6,26,36,32,55,40,3,26,58,3,0,8,2,52
Benalla,2018,4,15,69,3,31,14,21,47,20,0,18,41,3,0,4,3,37
Benalla,2019,1,19,99,0,21,50,28,59,38,3,21,58,3,0,13,1,56
Benalla,2020,0,3,29,0,7,10,12,18,9,0,6,16,2,0,5,0,16
Bendigo,2015,4,62,432,3,83,164,182,233,183,14,95,266,15,1,32,9,198
Bendigo,2016,9,144,778,5,114,291,368,388,354,24,196,474,28,2,38,16,338
Bendigo,2017,12,108,634,7,155,215,257,337,270,16,147,380,26,1,45,19,282
Bendigo,2018,9,81,488,7,119,164,198,265,210,18,105,295,19,2,41,8,229
Bendigo,2019,13,96,588,11,75,275,227,309,244,22,133,340,25,1,55,12,285
Bendigo,2020,5,38,259,4,37,106,112,145,107,10,54,145,16,2,26,6,121
Boroondara,2015,7,56,362,2,67,120,173,202,145,28,28,248,24,0,19,15,169
Boroondara,2016,9,117,743,4,135,232,372,379,325,46,102,473,55,1,51,15,326
Boroondara,2017,8,110,708,3,143,220,342,397,278,44,92,444,47,1,60,20,317
Boroondara,2018,8,102,686,3,131,219,333,397,247,50,96,424,51,2,44,19,296
Boroondara,2019,6,97,752,4,72,308,368,408,307,43,81,501,42,0,60,25,332
Boroondara,2020,4,37,240,5,25,95,115,138,85,16,30,152,18,1,21,2,109
Brimbank,2015,7,101,709,1,123,203,382,382,289,12,161,469,29,1,23,14,257
Brimbank,2016,10,174,1305,16,202,415,672,738,509,14,231,919,66,2,46,27,501
Brimbank,2017,8,156,1045,5,187,309,544,593,372,17,215,698,44,1,41,29,400
Brimbank,2018,10,168,1077,6,190,324,557,616,388,13,219,735,42,2,39,27,412
Brimbank,2019,11,155,1187,11,118,475,583,683,432,17,209,849,53,0,33,26,463
Brimbank,2020,6,61,411,1,48,173,189,249,134,15,63,287,17,0,15,14,182
Buloke,2015,1,3,12,1,6,4,1,8,4,0,6,6,0,0,0,0,6
Buloke,2016,1,9,42,1,15,12,14,25,16,0,16,22,2,0,1,1,21
Buloke,2017,2,7,40,2,11,11,16,24,15,2,7,20,0,0,2,9,18
Buloke,2018,1,6,24,0,9,6,9,18,6,0,6,16,0,0,2,0,14
Buloke,2019,0,3,33,3,8,17,5,22,11,1,8,19,2,0,3,0,18
Buloke,2020,0,4,4,0,3,1,0,4,0,0,0,2,0,0,2,0,4
Campaspe,2015,1,21,117,3,22,46,46,73,37,2,33,60,7,0,10,5,54
Campaspe,2016,8,44,237,2,60,102,73,143,85,2,63,138,10,1,18,5,114
Campaspe,2017,10,43,260,6,67,97,90,139,117,3,78,142,15,0,20,2,116
Campaspe,2018,3,22,187,3,46,60,78,113,65,3,40,119,6,0,9,10,84
Campaspe,2019,2,27,239,3,41,112,83,136,87,5,64,147,5,0,10,8,101
Campaspe,2020,1,16,77,2,13,39,23,48,28,2,19,41,3,1,9,2,42
Cardinia,2015,3,49,272,4,75,87,106,142,117,3,55,169,7,0,30,8,128
Cardinia,2016,9,95,623,8,176,178,261,334,257,7,183,354,15,1,55,8,266
Cardinia,2017,10,80,513,6,130,156,221,270,212,10,148,292,12,2,33,16,214
Cardinia,2018,5,81,483,11,122,147,203,252,215,4,130,293,16,0,34,6,207
Cardinia,2019,8,81,605,3,68,271,263,332,243,15,167,354,15,1,45,8,257
Cardinia,2020,4,51,310,4,44,121,141,165,128,3,86,176,8,2,23,12,131
Casey,2015,13,138,884,3,158,293,430,434,392,7,200,586,29,1,37,24,349
Casey,2016,14,309,2013,14,390,587,1022,1047,823,10,536,1307,52,1,78,29,731
Casey,2017,16,234,1582,10,308,447,817,837,647,16,407,1008,58,4,53,36,573
Casey,2018,19,229,1567,4,313,463,787,853,634,20,384,1035,39,3,63,23,571
Casey,2019,20,244,1819,11,204,748,856,943,780,16,446,1210,51,3,59,34,671
Casey,2020,7,106,703,5,74,279,345,372,286,5,125,487,31,2,28,25,284
Central Goldfields,2015,1,2,30,0,6,9,15,13,14,0,9,15,0,0,4,2,14
Central Goldfields,2016,2,11,93,1,14,25,53,49,33,2,46,35,1,0,9,0,29
Central Goldfields,2017,2,11,53,2,20,17,14,36,16,0,13,28,4,1,6,1,30
Central Goldfields,2018,3,16,52,0,14,18,20,38,12,1,8,35,2,0,2,4,27
Central Goldfields,2019,1,15,63,3,16,28,16,35,26,0,11,39,6,0,5,2,37
