lga_code,population,ASGS_Structure,Census_Code_2021,AGSS_Code_2021,Census_Name_2021,Area sqkm
LGA20110,13235,LGA,LGA20110,20110,Alpine,4788.157
LGA20260,11880,LGA,LGA20260,20260,Ararat,4211.1172
LGA20570,113763,LGA,LGA20570,20570,Ballarat,739.0321
LGA20660,126236,LGA,LGA20660,20660,Banyule,62.5402
LGA20740,40789,LGA,LGA20740,20740,Bass Coast,865.8094
LGA20830,57626,LGA,LGA20830,20830,Baw Baw,4027.6287
LGA20910,101306,LGA,LGA20910,20910,Bayside,37.2111
LGA21010,14528,LGA,LGA21010,21010,Benalla,2352.6398
LGA21110,167900,LGA,LGA21110,21110,Boroondara,60.1776
LGA21180,194618,LGA,LGA21180,21180,Brimbank,123.3991
LGA21270,6178,LGA,LGA21270,21270,Buloke,7998.247
LGA21370,38735,LGA,LGA21370,21370,Campaspe,4519.073
LGA21450,118194,LGA,LGA21450,21450,Cardinia,1282.5671
LGA21610,365239,LGA,LGA21610,21610,Casey,409.4287
LGA21670,13483,LGA,LGA21670,21670,Central Goldfields,1532.7843
LGA21750,22423,LGA,LGA21750,21750,Colac Otway,3437.47
LGA21830,16115,LGA,LGA21830,21830,Corangamite,4407.492
LGA21890,148570,LGA,LGA21890,21890,Darebin,53.4712
LGA22110,48715,LGA,LGA22110,22110,East Gippsland,20939.5016
LGA22170,139281,LGA,LGA22170,22170,Frankston,129.5981
LGA22250,10683,LGA,LGA22250,22250,Gannawarra,3737.5979
LGA22310,148908,LGA,LGA22310,22310,Glen Eira,38.6908
LGA22410,20152,LGA,LGA22410,22410,Glenelg,6218.7884
LGA22490,24985,LGA,LGA22490,22490,Golden Plains,2703.3899
LGA22620,121470,LGA,LGA22620,22620,Greater Bendigo,2999.9717
LGA22670,158208,LGA,LGA22670,22670,Greater Dandenong,129.5466
LGA22750,271057,LGA,LGA22750,22750,Greater Geelong,1247.9872
LGA22830,68409,LGA,LGA22830,22830,Greater Shepparton,2421.9092
LGA22910,16604,LGA,LGA22910,22910,Hepburn,1472.9843
LGA22980,5698,LGA,LGA22980,22980,Hindmarsh,7524.1823
LGA23110,91322,LGA,LGA23110,23110,Hobsons Bay,64.2405
LGA23190,20429,LGA,LGA23190,23190,Horsham,4266.769
LGA23270,243901,LGA,LGA23270,23270,Hume,503.8488
LGA23350,17368,LGA,LGA23350,23350,Indigo,2040.471
LGA23430,158129,LGA,LGA23430,23430,Kingston,91.3676
LGA23670,159103,LGA,LGA23670,23670,Knox,113.9114
LGA23810,77318,LGA,LGA23810,23810,Latrobe,1425.613
LGA23940,7759,LGA,LGA23940,23940,Loddon,6696.4447
LGA24130,51458,LGA,LGA24130,24130,Macedon Ranges,1748.284
LGA24210,124700,LGA,LGA24210,24210,Manningham,113.3479
LGA24250,10178,LGA,LGA24250,24250,Mansfield,3843.8535
LGA24330,85209,LGA,LGA24330,24330,Maribyrnong,31.2258
LGA24410,115043,LGA,LGA24410,24410,Maroondah,61.4097
LGA24600,149615,LGA,LGA24600,24600,Melbourne,37.5452
LGA24650,178960,LGA,LGA24650,24650,Melton,527.5374
LGA24780,56972,LGA,LGA24780,24780,Mildura,22081.9206
LGA24850,49460,LGA,LGA24850,24850,Mitchell,2862.0837
LGA24900,30522,LGA,LGA24900,24900,Moira,4045.9201
LGA24970,190397,LGA,LGA24970,24970,Monash,81.4829
LGA25060,121851,LGA,LGA25060,25060,Moonee Valley,43.1384
LGA25150,37632,LGA,LGA25150,25150,Moorabool,2110.5504
LGA25250,171357,LGA,LGA25250,25250,Moreland,50.9522
LGA25340,168948,LGA,LGA25340,25340,Mornington Peninsula,723.992
LGA25430,20253,LGA,LGA25430,25430,Mount Alexander,1529.6183
LGA25490,17374,LGA,LGA25490,25490,Moyne,5481.686
LGA25620,15197,LGA,LGA25620,25620,Murrindindi,3879.7505
LGA25710,62895,LGA,LGA25710,25710,Nillumbik,432.3373
LGA25810,11948,LGA,LGA25810,25810,Northern Grampians,5729.8765
LGA25900,101942,LGA,LGA25900,25900,Port Phillip,20.6141
LGA25990,7671,LGA,LGA25990,25990,Pyrenees,3434.5687
LGA26080,3276,LGA,LGA26080,26080,Queenscliffe,8.6166
LGA26170,30577,LGA,LGA26170,26170,South Gippsland,3296.3307
LGA26260,16588,LGA,LGA26260,26260,Southern Grampians,6654.0186
LGA26350,104703,LGA,LGA26350,26350,Stonnington,25.651
LGA26430,11455,LGA,LGA26430,26430,Strathbogie,3303.2568
LGA26490,37694,LGA,LGA26490,26490,Surf Coast,1552.944
LGA26610,21403,LGA,LGA26610,26610,Swan Hill,6115.5373
LGA26670,6223,LGA,LGA26670,26670,Towong,6675.1725
LGA26700,29808,LGA,LGA26700,26700,Wangaratta,3645.1096
LGA26730,35406,LGA,LGA26730,26730,Warrnambool,120.9487
LGA26810,45639,LGA,LGA26810,26810,Wellington,10817.4231
LGA26890,4006,LGA,LGA26890,26890,West Wimmera,9108.6794
LGA26980,169346,LGA,LGA26980,26980,Whitehorse,64.2801
LGA27070,229396,LGA,LGA27070,27070,Whittlesea,489.6938
LGA27170,43253,LGA,LGA27170,27170,Wodonga,433.0021
LGA27260,292011,LGA,LGA27260,27260,Wyndham,542.0943
LGA27350,90114,LGA,LGA27350,27350,Yarra,19.5421
LGA27450,156068,LGA,LGA27450,27450,Yarra Ranges,2468.2052
LGA27630,6556,LGA,LGA27630,27630,Yarriambiack,7325.797
LGA29399,955,LGA,LGA29399,29399,Unincorporated Vic,283.1903
LGA29499,9089,LGA,LGA29499,29499,No usual address,0.0
LGA29799,38,LGA,LGA29799,29799,Migratory - Offshore - Shipping,0.0
