lga,year,month,speed_zone,total_crashes,datetime
Alpine,2015,7,100 km/hr,2,2015-07-01
Alpine,2015,8,100 km/hr,1,2015-08-01
Alpine,2015,8,50 km/hr,1,2015-08-01
Alpine,2015,8,60 km/hr,1,2015-08-01
Alpine,2015,8,Off road,1,2015-08-01
Alpine,2015,8,Unknown,1,2015-08-01
Alpine,2015,9,100 km/hr,2,2015-09-01
Alpine,2015,9,40 km/hr,1,2015-09-01
Alpine,2015,9,60 km/hr,1,2015-09-01
Alpine,2015,9,80 km/hr,1,2015-09-01
Alpine,2015,9,Off road,2,2015-09-01
Alpine,2015,9,Unknown,2,2015-09-01
Alpine,2015,10,100 km/hr,1,2015-10-01
Alpine,2015,10,50 km/hr,1,2015-10-01
Alpine,2015,10,60 km/hr,2,2015-10-01
Alpine,2015,10,80 km/hr,1,2015-10-01
Alpine,2015,10,Off road,1,2015-10-01
Alpine,2015,10,Unknown,2,2015-10-01
Alpine,2015,11,100 km/hr,4,2015-11-01
Alpine,2015,11,Off road,3,2015-11-01
Alpine,2015,11,Unknown,1,2015-11-01
Alpine,2015,12,100 km/hr,3,2015-12-01
Alpine,2015,12,80 km/hr,1,2015-12-01
Alpine,2015,12,Off road,3,2015-12-01
Alpine,2016,1,100 km/hr,1,2016-01-01
Alpine,2016,1,60 km/hr,1,2016-01-01
Alpine,2016,1,80 km/hr,1,2016-01-01
Alpine,2016,1,Off road,1,2016-01-01
Alpine,2016,1,Unknown,1,2016-01-01
Alpine,2016,2,Off road,1,2016-02-01
Alpine,2016,2,Unknown,2,2016-02-01
Alpine,2016,3,100 km/hr,3,2016-03-01
Alpine,2016,3,80 km/hr,2,2016-03-01
Alpine,2016,3,Off road,2,2016-03-01
Alpine,2016,4,100 km/hr,4,2016-04-01
Alpine,2016,4,50 km/hr,1,2016-04-01
Alpine,2016,4,80 km/hr,1,2016-04-01
Alpine,2016,4,Off road,2,2016-04-01
Alpine,2016,4,Unknown,3,2016-04-01
Alpine,2016,5,100 km/hr,2,2016-05-01
Alpine,2016,5,50 km/hr,1,2016-05-01
Alpine,2016,5,80 km/hr,2,2016-05-01
Alpine,2016,5,Off road,1,2016-05-01
Alpine,2016,6,100 km/hr,1,2016-06-01
Alpine,2016,6,60 km/hr,1,2016-06-01
Alpine,2016,7,100 km/hr,1,2016-07-01
Alpine,2016,7,40 km/hr,1,2016-07-01
Alpine,2016,7,50 km/hr,1,2016-07-01
Alpine,2016,7,80 km/hr,1,2016-07-01
Alpine,2016,7,Off road,1,2016-07-01
Alpine,2016,8,100 km/hr,1,2016-08-01
Alpine,2016,8,60 km/hr,1,2016-08-01
